loc1_script1_seq1_rec1-1,25.0,1.0
loc1_script1_seq1_rec1-2,25.0,1.0
loc1_script1_seq1_rec1-3,25.0,1.0
loc1_script1_seq1_rec1-4,25.0,1.0
loc1_script1_seq1_rec1-5,25.0,1.0
loc1_script1_seq1_rec1-6,25.0,1.0
loc1_script1_seq1_rec1-7,25.0,1.0
loc1_script1_seq1_rec1-8,25.0,1.0
loc1_script1_seq1_rec1-9,25.0,1.0
loc1_script1_seq1_rec1-10,25.0,1.0
loc1_script1_seq1_rec1-11,25.0,1.0
loc1_script1_seq1_rec1-12,25.0,1.0
loc1_script1_seq1_rec1-13,25.0,1.0
loc1_script1_seq1_rec1-14,25.0,1.0
loc1_script1_seq1_rec1-15,25.0,1.0
loc1_script1_seq1_rec1-16,25.0,1.0
loc1_script1_seq1_rec1-17,25.0,1.0
loc1_script1_seq1_rec1-18,25.0,1.0
loc1_script1_seq1_rec1-19,25.0,1.0
loc1_script1_seq1_rec1-20,25.0,1.0
loc1_script1_seq1_rec1-21,25.0,1.0
loc1_script1_seq1_rec1-22,25.0,1.0
loc1_script1_seq1_rec1-23,25.0,1.0
loc1_script1_seq1_rec1-24,25.0,1.0
loc1_script1_seq1_rec1-25,25.0,1.0
loc1_script1_seq1_rec1-26,25.0,1.0
loc1_script1_seq1_rec1-27,25.0,1.0
loc1_script1_seq1_rec1-28,25.0,1.0
loc1_script1_seq1_rec1-29,25.0,1.0
loc1_script1_seq1_rec1-30,25.0,1.0
loc1_script1_seq1_rec1-31,25.0,1.0
loc1_script1_seq1_rec1-32,25.0,1.0
loc1_script1_seq1_rec1-33,25.0,1.0
loc1_script1_seq1_rec1-34,25.0,1.0
loc1_script1_seq1_rec1-35,25.0,1.0
loc1_script1_seq1_rec1-36,25.0,1.0
loc1_script1_seq1_rec1-37,25.0,1.0
loc1_script1_seq1_rec1-38,25.0,1.0
loc1_script1_seq1_rec1-39,25.0,1.0
loc1_script1_seq1_rec1-40,25.0,1.0
loc1_script1_seq1_rec1-41,25.0,1.0
loc1_script1_seq1_rec1-42,25.0,1.0
loc1_script1_seq1_rec1-43,25.0,1.0
loc1_script1_seq1_rec1-44,25.0,1.0
loc1_script1_seq1_rec1-45,25.0,1.0
loc1_script1_seq1_rec1-46,25.0,1.0
loc1_script1_seq1_rec1-47,25.0,1.0
loc1_script1_seq1_rec1-48,25.0,1.0
loc1_script1_seq1_rec1-49,25.0,1.0
loc1_script1_seq1_rec1-50,25.0,1.0
loc1_script1_seq1_rec1-51,25.0,1.0
loc1_script1_seq1_rec1-52,25.0,1.0
loc1_script1_seq1_rec1-53,25.0,1.0
loc1_script1_seq1_rec1-54,25.0,1.0
loc1_script1_seq1_rec1-55,25.0,1.0
loc1_script1_seq1_rec1-56,25.0,1.0
loc1_script1_seq1_rec1-57,25.0,1.0
loc1_script1_seq1_rec1-58,25.0,1.0
loc1_script1_seq1_rec1-59,25.0,1.0
loc1_script1_seq1_rec1-60,25.0,1.0
loc1_script1_seq1_rec1-61,25.0,1.0
loc1_script1_seq1_rec1-62,25.0,1.0
loc1_script1_seq1_rec1-63,25.0,1.0
loc1_script1_seq1_rec1-64,25.0,1.0
loc1_script1_seq1_rec1-65,25.0,1.0
loc1_script1_seq1_rec1-66,25.0,1.0
loc1_script1_seq1_rec1-67,25.0,1.0
loc1_script1_seq1_rec1-68,25.0,1.0
loc1_script1_seq1_rec1-69,25.0,1.0
loc1_script1_seq1_rec1-70,25.0,1.0
loc1_script1_seq1_rec1-71,25.0,1.0
loc1_script1_seq1_rec1-72,25.0,1.0
loc1_script1_seq1_rec1-73,25.0,1.0
loc1_script1_seq1_rec1-74,25.0,1.0
loc1_script1_seq1_rec1-75,25.0,1.0
loc1_script1_seq1_rec1-76,25.0,1.0
loc1_script1_seq1_rec1-77,25.0,1.0
loc1_script1_seq1_rec1-78,25.0,1.0
loc1_script1_seq1_rec1-79,25.0,1.0
loc1_script1_seq1_rec1-80,25.0,1.0
loc1_script1_seq1_rec1-81,25.0,1.0
loc1_script1_seq1_rec1-82,25.0,1.0
loc1_script1_seq1_rec1-83,25.0,1.0
loc1_script1_seq1_rec1-84,25.0,1.0
loc1_script1_seq1_rec1-85,25.0,1.0
loc1_script1_seq1_rec1-86,25.0,1.0
loc1_script1_seq1_rec1-87,25.0,1.0
loc1_script1_seq1_rec1-88,25.0,1.0
loc1_script1_seq1_rec1-89,25.0,1.0
loc1_script1_seq1_rec1-90,25.0,1.0
loc1_script1_seq1_rec1-91,25.0,1.0
loc1_script1_seq1_rec1-92,25.0,1.0
loc1_script1_seq1_rec1-93,25.0,1.0
loc1_script1_seq1_rec1-94,25.0,1.0
loc1_script1_seq1_rec1-95,25.0,1.0
loc1_script1_seq1_rec1-96,25.0,1.0
loc1_script1_seq1_rec1-97,25.0,1.0
loc1_script1_seq1_rec1-98,25.0,1.0
loc1_script1_seq1_rec1-99,25.0,1.0
loc1_script1_seq1_rec1-100,25.0,1.0
loc1_script1_seq1_rec1-101,25.0,1.0
loc1_script1_seq1_rec1-102,25.0,1.0
loc1_script1_seq1_rec1-103,25.0,1.0
loc1_script1_seq1_rec1-104,25.0,1.0
